Game,Time,GrSubject,BR1,BR2,BR3,twdbr1,twdbr2,twdbr3
48,2,1,103.1604,4.7697997,7.0698,1,1,1
48,2,2,8.283046,98.43391,8.283046,1,1,1
48,2,3,11.487866,9.187866,94.324265,0,0,1
48,3,1,104.07976,14.21012,-3.28988,1,1,1
48,3,2,12.607043,97.210915,5.1820436,1,1,1
48,3,3,7.3333087,16.258308,91.40839,0,1,1
48,4,1,104.07976,5.2101197,5.7101197,1,1,0
48,4,2,24.9625,90.95,-0.9125,1,0,0
48,4,3,19.592459,10.96746,84.44008,1,1,0
48,5,1,110.59235,-10.0118,14.41945,1,1,0
48,5,2,23.104046,90.16691,1.7290461,1,1,1
48,5,3,37.708126,-7.135625,84.4275,1,0,0
48,6,1,106.66835,23.590826,-15.259174,1,1,1
48,6,2,24.051126,90.28994,0.65893817,0,1,1
48,6,3,28.310646,6.7028346,79.98652,0,1,1
48,7,1,114.3401,5.329949,-4.670051,1,1,0
48,7,2,31.022776,92.06695,-8.089725,1,1,1
48,7,3,22.151398,20.613897,72.2347,1,1,0
48,8,1,107.46891,7.5155444,0.015544301,1,1,1
48,8,2,24.972136,94.055725,-4.027864,0,1,0
48,8,3,30.179283,10.179283,74.64143,0,1,1
48,9,1,104.64841,13.925796,-3.5742044,1,1,1
48,9,2,25.709385,94.20623,-4.915615,1,1,0
48,9,3,32.50593,8.130932,74.36314,0,0,1
48,10,1,103.47114,9.514432,2.0144322,1,0,1
48,10,2,29.217674,94.68965,-8.907327,1,0,0
48,10,3,25.906769,11.53177,77.56146,1,1,1
48,11,1,98.128044,2.185979,14.685979,1,1,1
48,11,2,11.292423,94.29015,9.417423,1,1,1
48,11,3,13.321888,12.696888,88.981224,0,0,1
48,12,1,101.19248,6.9037595,6.9037595,1,1,1
48,12,2,20.596863,89.431274,4.9718633,1,1,0
48,12,3,25.966835,4.091835,84.94133,1,0,1
48,13,1,99.42387,6.5380664,9.038067,1,0,0
48,13,2,21.129335,88.99133,4.879335,1,1,0
48,13,3,25.28579,6.535789,83.17842,1,0,0
48,14,1,102.47384,9.544332,2.981831,1,0,0
48,14,2,30.691252,88.30499,-3.9962482,1,1,0
48,14,3,25.28579,6.535789,83.17842,1,1,1
48,15,1,101.666824,7.9165893,5.4165893,1,0,0
48,15,2,19.305,92.64,3.055,1,1,0
48,15,3,25.28579,6.535789,83.17842,1,1,1
48,16,1,98.550964,0.7245191,15.724519,1,0,1
48,16,2,15.530677,87.688644,11.780677,0,1,0
48,16,3,25.28579,6.535789,83.17842,1,0,1
48,17,1,98.916725,3.791638,12.291637,1,0,0
48,17,2,16.970776,87.30845,10.720776,1,1,1
48,17,3,23.226025,8.476026,83.29795,1,1,1
48,18,1,99.917206,1.2913985,13.791398,1,1,1
48,18,2,17.213938,86.82213,10.963938,1,1,1
48,18,3,22.866022,9.116023,83.01795,1,1,1
48,19,1,99.79603,1.1019857,14.101986,1,1,0
48,19,2,16.131716,85.86157,13.006716,1,1,1
48,19,3,23.85169,6.4766893,84.67162,1,1,1
48,20,1,98.84199,1.0790048,15.079005,1,0,0
48,20,2,16.058577,85.88284,13.058577,1,1,1
48,20,3,25.143904,5.1439037,84.7122,1,0,1
48,21,1,97.60596,4.197021,13.197021,1,0,0
48,21,2,16.504091,85.99181,12.504092,1,1,1
48,21,3,25.143904,5.1439037,84.7122,1,0,1
49,2,1,102.49343,6.290783,6.215783,1,1,1
49,2,2,13.186419,97.40216,4.4114184,1,1,1
49,2,3,16.046843,7.3468423,91.606316,1,0,1
49,3,1,99.867226,11.900762,3.2320118,0,0,0
49,3,2,9.814405,97.87119,7.314405,1,1,0
49,3,3,15.073965,11.855215,88.07082,0,1,0
49,4,1,102.44477,8.327616,4.2276154,1,0,1
49,4,2,8.249975,97.000046,9.749975,1,1,1
49,4,3,8.720439,14.570438,91.70912,0,0,1
49,5,1,95.99,28.6925,-9.6825,0,0,0
49,5,2,8.920697,99.65861,6.420697,1,1,1
49,5,3,-4.1854787,34.93952,84.24596,0,1,1
49,6,1,94.220604,33.202198,-12.422801,1,0,1
49,6,2,-7.5832014,100.666405,21.916798,0,1,1
49,6,3,-26.407997,54.967003,86.440994,0,1,0
49,7,1,100.773735,2.1756315,12.0506315,1,1,1
49,7,2,22.657314,99.34162,-6.9989367,0,1,1
49,7,3,8.816048,19.347298,86.836655,1,0,1
49,8,1,95.920944,39.49656,-20.417503,1,1,1
49,8,2,15.124165,93.25167,6.6241646,1,1,1
49,8,3,4.4558797,34.541817,76.002304,0,1,1
49,9,1,101.17,7.3525,6.4775,1,1,1
49,9,2,18.107548,102.534904,-5.6424513,0,1,1
49,9,3,15.959816,21.334816,77.70537,1,0,1
49,10,1,101.20144,9.8680315,3.9305313,1,0,1
49,10,2,12.84,94.32,7.84,1,0,0
49,10,3,20.380154,11.942654,82.67719,0,0,0
49,11,1,101.634575,5.907714,7.457714,1,1,1
49,11,2,15.145634,96.793106,3.0612586,0,1,1
49,11,3,21.428438,5.4628124,88.10875,1,0,1
49,12,1,102.05362,7.0837374,5.8626437,0,0,0
49,12,2,21.67797,95.24406,-1.9220299,1,1,1
49,12,3,30.359453,0.13835937,84.50219,0,0,1
49,13,1,98.20827,26.045866,-9.254134,0,0,0
49,13,2,18.57197,95.26134,1.1666956,1,1,0
49,13,3,17.443012,19.348286,78.2087,0,1,1
49,14,1,98.4967,21.05231,-4.5490074,0,0,0
49,14,2,18.898067,92.75387,3.348067,1,1,0
49,14,3,15.602653,20.051334,79.346016,1,0,1
49,15,1,97.11173,20.262886,-2.3746145,1,1,1
49,15,2,14.7645855,92.970825,7.2645855,1,1,0
49,15,3,13.717461,21.07996,80.20258,0,0,1
49,16,1,96.224174,19.700415,-0.9245862,0,0,0
49,16,2,19.15979,91.68042,4.159789,0,1,1
49,16,3,16.600725,18.475725,79.923546,0,0,1
49,17,1,97.04974,20.22513,-2.2748706,1,0,0
49,17,2,8.923627,97.15275,8.923627,1,1,0
49,17,3,6.109188,28.609188,80.281624,0,1,1
49,18,1,97.62093,15.564534,1.8145341,1,1,0
49,18,2,12.84,94.32,7.84,0,1,1
49,18,3,3.1305258,29.380526,82.488945,0,1,0
49,19,1,98.20827,23.395866,-6.604134,1,0,1
49,19,2,14.814405,97.87119,2.314405,0,1,1
49,19,3,5.033653,27.533653,82.43269,1,1,1
49,20,1,97.91262,20.731188,-3.643812,0,0,0
49,20,2,16.67966,97.89068,0.42966172,0,0,0
49,20,3,9.2275,28.6025,77.17,0,1,1
49,21,1,103.59791,0.85729533,10.544795,1,0,0
49,21,2,16.035,96.48,2.485,0,0,0
49,21,3,22.001736,10.6392355,82.35903,1,0,0
49,22,1,103.94662,4.720441,6.3329406,1,0,0
49,22,2,16.320396,100.9092,-2.2296028,1,1,1
49,22,3,22.955828,8.518328,83.52584,1,0,1
49,23,1,102.01552,4.9297414,8.054742,0,0,0
49,23,2,11.320397,100.9092,2.7703972,1,1,0
49,23,3,22.865753,9.415753,82.71849,1,0,0
49,24,1,100.76275,6.306124,7.931124,0,1,0
49,24,2,11.182106,102.38579,1.4321058,1,1,1
49,24,3,20.34863,10.19863,84.452736,1,1,0
49,25,1,104.35577,6.7596173,3.8846173,1,0,0
49,25,2,9.807478,100.38504,4.807478,0,1,0
49,25,3,13.389924,11.389924,90.22015,0,0,1
49,26,1,103.67957,5.8727136,5.447714,1,0,0
49,26,2,9.807478,100.38504,4.807478,1,1,1
49,26,3,12.988378,10.913378,91.09824,0,0,1
49,27,1,101.59683,11.701584,1.7015835,1,0,0
49,27,2,8.920697,99.65861,6.420697,1,1,0
49,27,3,8.926102,16.426102,89.6478,0,0,1
51,2,1,101.368645,8.69068,4.940679,1,1,1
51,2,2,10.429662,97.89068,6.6796618,0,1,1
51,2,3,11.833179,11.833179,91.33364,0,0,1
51,3,1,101.87258,8.90746,4.21996,1,1,1
51,3,2,12.417,97.8535,4.7295,1,0,1
51,3,3,14.301174,11.301174,89.39765,0,1,0
