Game;Time;Subject;Group;GrSubject;Type;Gain;Penalty;x;s1;s2;s3;AcceptAdvice;CalcCount;CalcAdviceCount;UseHelp;
1;1;1;1;1;1;1;0;0;0;35;30;;;;;
1;1;4;1;2;9;6,633249581;0;35;0;35;30;;;;;
1;1;6;1;3;25;7,416198487;0;30;0;35;30;;;;;
1;2;1;1;1;1;6,026206435;0,111111111;36,66666667;40;35;30;;;;;
1;2;4;1;2;9;6,688805136;-0,055555556;35;35;35;45;;;;;
1;2;6;1;3;25;8,117813304;-0,055555556;40;35;35;45;;;;;
1;3;1;1;1;1;6,34278107;0,390222222;44,33333333;60;22,5;32,5;;;;;
1;3;4;1;2;9;6,717245124;-0,071444444;35,16666667;35;45;35;;;;;
1;3;6;1;3;25;8,096952371;-0,318777778;35,5;38;38;39;;;;;
1;4;1;1;1;1;7,07034559;0,000722222;49;55;32,25;27,75;;;;;
1;4;4;1;2;9;6,567150667;-0,003361111;34,08333333;45;40;30;;;;;
1;4;6;1;3;25;7,541674643;0,002638889;31,91666667;47;30;38;;;;;
1;5;6;1;3;25;7,496530815;0,064333333;32,16666667;35;30;42;;;;;
1;5;1;1;1;1;6,761769169;0,262;48,33333333;65;25,5;24,5;;;;;
1;5;4;1;2;9;6,716429838;-0,326333333;31,83333333;45;40;30;;;;;
1;6;4;1;2;9;6,030436674;0,303993056;31,125;30;40;45;;;;;
1;6;6;1;3;25;8,335047502;-0,418819444;37,66666667;48,625;26,375;40;;;;;
1;6;1;1;1;1;6,756005681;0,114826389;46,20833333;60;27;28;;;;;
1;7;1;1;1;1;7,060054806;0,008802951;48,96875;55;25,34375;34,65625;;;;;
1;7;4;1;2;9;6,373022263;0,006469618;31,69791667;48,65625;38;28,34375;;;;;
1;7;6;1;3;25;7,718085908;-0,015272569;34,33333333;43,25;31,75;40;;;;;
1;8;6;1;3;25;8,021258958;-0,069319991;38,23333333;46,578125;26,421875;42;;;;;
1;8;1;1;1;1;6,950310436;0,039637704;47,859375;55;25,3;34,7;;;;;
1;8;4;1;2;9;6,127207485;0,029682287;28,90729167;42;35;38;;;;;
1;9;6;1;3;25;8,509238486;-0,309645;42,23333333;45,675;27,325;42;;;;;
1;9;1;1;1;1;6,595135368;0,0800675;43,55833333;55;25,3;34,7;;;;;
1;9;4;1;2;9;5,95171147;0,2295775;29,20833333;30;35;50;;;;;
1;10;6;1;3;25;8,565054857;-0,310384462;43,13958333;42,5;30,15;42;;;;;
1;10;1;1;1;1;6,443343639;0,15210934;42,5;55;22,58125;37,41875;;;;;
1;10;4;1;2;9;6,025878014;0,158275122;29,24375;30;35;50;;;;;
1;11;4;1;2;9;6,218367537;0,063633869;30,46354167;40;40;35;;;;;
1;11;6;1;3;25;8,078335341;-0,153690239;37,8;42,5;28,790625;41;;;;;
1;11;1;1;1;1;6,75343202;0,090056369;45,83333333;55;22,6;37,4;;;;;
1;12;1;1;1;1;6,825157895;0,057186667;46,36666667;55;22,6;37,4;;;;;
1;12;4;1;2;9;6,168501119;0,089826667;30,16666667;40;40;35;;;;;
1;12;6;1;3;25;8,113610265;-0,147013333;38,46666667;44,1;27,9;43;;;;;
1;13;6;1;3;25;8,083924719;-0,03408;39,8;44,6;28,4;42;;;;;
1;13;1;1;1;1;6,945151167;0,06912;48,2;55;22,6;37,4;;;;;
1;13;4;1;2;9;6,03504;-0,03504;27;45;30;40;;;;;
1;14;1;1;1;1;7,198428508;0,020758889;51,11666667;55;22,6;37,4;;;;;
1;14;6;1;3;25;8,04953583;0,000308889;39,8;48,35;24,65;42;;;;;
1;14;4;1;2;9;5,772879087;-0,021067778;24,08333333;50;25;40;;;;;
1;15;4;1;2;9;5,53046254;1,109065556;35,08333333;20;60;35;;;;;
1;15;1;1;1;1;7,04896936;-0,482641111;42,11666667;55;22,6;37,4;;;;;
1;15;6;1;3;25;8,551069547;-0,626424444;37,8;51,35;22,65;41;;;;;
1;16;4;1;2;9;6,699422823;-0,1598;33,76666667;40;40;35;;;;;
1;16;1;1;1;1;6,424373125;0,24396;43,46666667;55;22,6;37,4;;;;;
1;16;6;1;3;25;7,972970641;-0,08416;37,23333333;35,4;38,7;39,3;;;;;
1;17;6;1;3;25;8,047053149;-0,101404444;38,13333333;38;38;39;;;;;
1;17;1;1;1;1;6,481928377;0,226275556;44;55;22,6;37,4;;;;;
1;17;4;1;2;9;6,595316742;-0,124871111;32,86666667;39;38;38;;;;;
1;18;6;1;3;25;8,047053149;-0,101404444;38,13333333;38;38;39;;;;;
1;18;1;1;1;1;6,481928377;0,226275556;44;55;22,6;37,4;;;;;
1;18;4;1;2;9;6,595316742;-0,124871111;32,86666667;39;38;38;;;;;
2;1;5;1;2;9;6,693165646;1,482;57,83333333;12,5;90;12,5;;;;;
2;1;6;1;3;25;8,088880696;-1,938;12,83333333;57,5;57,5;0;;;;;
2;1;3;1;1;1;6,277003292;0,456;44,33333333;63;26;26;;;;;
2;2;6;1;3;25;-20000,02152;10000,02152;-1,625;57,5;57,5;0;;;;;
2;2;3;1;1;1;-9992,573437;9999,913396;52,875;55;63,75;-3,75;;;;;
2;2;5;1;2;9;-9991,535722;10000,06508;63,75;46,125;70;-1,125;;;;;
2;3;6;1;3;25;7,228260493;-0,258085937;23,58333333;29,34375;45,65625;40;;;;;
2;3;3;1;1;1;6,771733864;-0,224628906;41,86458333;55;33;27;;;;;
2;3;5;1;2;9;7,169218463;0,482714844;49,55208333;41,25;70;3,75;;;;;
2;4;3;1;1;1;6,388321754;0,147437256;41,71614583;55;33;27;;;;;
