Session;Game;Date;Place;GamersCount;R;Parametr1_alfa;Parametr2_beta;Mechname;GameMech;Cooperation;talks;Name;Datafile;Sbjfile;стимул;Group;Курс балла;End step
1;1;13.11.2012;ИПУ 665?;3;115;1;0,002;gl;agree;0;;1-я игра в ИПУ со студентами, 1 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\Game1\121113_1253.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\Game1\121113_1253.sbj;;#ЗНАЧ!;;
1;2;13.11.2012;ИПУ 665?;3;115;1;0,002;gl;agree;0;;2-я игра в ИПУ со студентами, 1 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\Game2\121113_1509(исправл).xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\Game2\121113_1509.sbj;;#ЗНАЧ!;;
2;3;15.11.2012;ИПУ 463;3;115;1;0,001;gl;agree;0;;Игра на семинаре;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\GameSeminarKolyaMishaGagik\121115_2014.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\GameSeminarKolyaMishaGagik\121115_2014.sbj.xls;;#ЗНАЧ!;;
2;4;15.11.2012;ИПУ 463;3;115;1;0,001;gl;agree;0;;Игра на семинаре;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\GameSeminarKolyaMishaGagik\121115_2131.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\GameSeminarKolyaMishaGagik\121115_2131.sbj.xls;;#ЗНАЧ!;;
2;5;15.11.2012;ИПУ 463;3;115;1;0,001;gl;agree;0;;Игра на семинаре;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\GameSeminarSevaDenisAleksandr\121115_2014.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\GameSeminarSevaDenisAleksandr\121115_2014.sbj.xls;;#ЗНАЧ!;;
3;6;16.11.2012;IBS;3;115;0;0,0005;gl;agree;1;;1 игра в IBS, 1 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree1\Игра 2\121116_1205.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree1\Игра 2\121116_1205.xls;;#ЗНАЧ!;;
3;7;16.11.2012;IBS;3;115;0;0,0005;gl;agree;1;;1 игра в IBS, 2 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree2\Игра 2\121116_1212.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree2\Игра 2\121116_1212.sbj.xls;;#ЗНАЧ!;;
3;8;16.11.2012;IBS;3;115;0;0,0005;gl;agree;1;;1 игра в IBS, 3 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree3\Игра 2\121116_1205.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree3\Игра 2\121116_1205.sbj.xls;;#ЗНАЧ!;;
3;9;16.11.2012;IBS;3;115;0;0,0005;gl;agree;1;;1 игра в IBS, 4 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree4\Игра 2\121116_1205.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree4\Игра 2\121116_1205.sbj.xls;;#ЗНАЧ!;;
3;10;16.11.2012;IBS;3;115;0;0,0005;gl;agree;1;;1 игра в IBS, 5 группа;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree5\Игра 2\121116_1205.xls;Распределение ресурса\Олигополия Курно даже после хода всех\Игры\IBS_161112\ztree5\Игра 2\121116_1205.sbj.xls;;#ЗНАЧ!;;
