Session;Game;Subject;seqscore;yhscore;glscore;selfglscore;boydscore;text;finanketa
6;65;9;2;4;1;4;1;1;
6;63;3;1;1;1;1;1;1;
6;67;15;3;1;4;5;2;1;
6;66;10;1;3;3;3;2;первый самый простой и легче всего договорится\r\n\r\nв последний было сложно играть так как прошло уже больше трех часов с начала эксперимента;
6;64;4;2;3;3;4;5;1;
6;65;8;2;4;1;3;5;В целом механизмы слишком сложны для реального применения - по сравнению с компьюторными агентами реальные люди не могут столько оперативно решать задачи оптимизации, что приводит к неверным и нерациональным решениям.;
6;63;2;3;4;4;4;5;Мне кажется, эти механизмы в любом случае несут достаточно теоретический характер и неприменимы для решения задач в реальной жизни (в том числе из-за трансакционных издержек). Но, возможно, я просто недостаточно разбираюсь в предмете.;
6;67;14;1;1;1;2;4;Как мне показалось, в последнем механизме очень сложно найти оптимальный для всех оппонентов способ. Поэтому он требует больше раундов, чем остальные.;
6;63;1;2;4;2;2;2;1;
6;64;5;2;2;2;3;4;Механизм ADMM испугал!;
6;67;13;3;2;2;4;2;Слишком долгий процесс. Печально, что в экспериментальной части нельзя коммуницировать - это бы очень помогло. Наиболее реальным показались механизм пропорционального распределения и ADMM - тупость людей в них отражена наилучшим образом.;
6;66;12;3;5;1;3;3;;
6;66;11;2;3;3;2;2;;
6;65;7;1;4;2;3;5;;
8;92;1;4;1;5;2;3;Механизм ADMM кака я считаю не применим в реальной жизни и работает не совсем корректно, так как там,играя,можно взломать алгоритм на последнем шаге, поставив самые максимальные и минимальные значения. Я думаю что нужно доработать и учесть существующие в игре ограничения. Механизм Гровса-Лейдярда с полными заявками на мой взгляд самый эффективный для реализации его в жизни,так как там можно спрогнозировать свой выигрыш, учитывая действия всех игроков на протяжении всех периодов.Остальным же механизмам я ставлю средние оценки, так как считаю их примерно на одном уровне,как по сложности, так и по применимости. Очень интересно было поучаствовать в данной программе.;
8;92;2;1;2;2;2;2;"Спасибо большое за эти игры, очень занимательны и интересны, все результаты конечно же зависят от игры всех игроков, твой выигрыш зависит от твоих оппонентов, порой, попадаются игроки, который в итоговых шагах могут очень негативно повлиять на результаты оппонентов, и здесь очень явно показывают такие механизмы, в которых есть коэффициент \""жадности\"", механизм пропорционального распределения, так же не предсказуем, но именно здесь необходимо всем игрокам договорится о минимальных запросах, для минимальных платежей. и не такие стрессовые механизмы в игре, те, в которых нет истории.";
